year,term,value,source,corpus,smoothing,case_sensitive,query_group
1814,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1815,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1816,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1817,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1818,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1819,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1820,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1821,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1822,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1823,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1824,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1825,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1826,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1827,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1828,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1829,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1830,artificial flavor,9.062995909303595e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1831,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1832,artificial flavor,6.142301667289018e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1833,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1834,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1835,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1836,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1837,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1838,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1839,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1840,artificial flavor,7.205607777116541e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1841,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1842,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1843,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
